"Features of cell nuclei in mouse embryos","Tue 11 Jun 2019 13:13:48","","","","","",""
"from Hadjantonakis lab (https://www.nature.com/articles/ncomms13463), postprocessed in https://www.sciencedirect.com/science/article/pii/S0006349518312578","","","","","","",""
"EmbryoID","CentroidX","CentroidY","CentroidZ","Population","DCGNeighborCount","Nanog-ebLogCor","Gata6-ebLogCor"
1,73.9532,67.51599,5.3927,"TE",7.,1.28711600963555,3.91973814258794
1,68.21625999999999,81.34266,3.19,"TE",6.,2.37491786088538,5.37453498141243
1,93.26776,82.48243,8.5225,"TE",5.,2.33387532239119,5.07177119572269
1,83.28524999999999,98.69705,8.8712,"TE",4.,2.10820860298269,5.38348555876492
1,53.13848,79.95091,10.781,"TE",9.,3.93747941830238,5.32804937533398
1,97.00350999999999,95.84616,15.973,"TE",3.,4.28597593878195,5.13176383320163
1,93.92115,59.45555999999999,16.558,"TE",5.,1.93713899998452,5.39724450476981
1,56.29701999999999,59.13619,17.291,"TE",9.,3.27469917832638,5.29131136541255
1,47.140769999999996,69.84241,16.734,"TE",8.,2.59488210285152,5.43405959146641
1,49.88911,99.21566,17.372,"TE",8.,2.74304713121247,5.3634614051912
1,77.27289,51.32774,18.648,"TE",5.,2.55202685681687,4.34604391815339
1,36.827169999999995,79.70478999999999,23.854,"TE",11.,3.54865924596863,5.48492771833617
1,65.42103999999999,116.09246,25.191,"TE",4.,2.35078099448125,5.541434848196
1,64.11719,47.41912,26.644,"TE",5.,2.54690699172021,4.32374878336296
1,43.613049999999994,93.01284999999999,26.771,"PRE",11.,3.92087212228719,6.11129652583201
1,43.583749999999995,74.11728,28.973,"DP",9.,6.17175807226351,5.49628639577663
1,110.90635999999999,75.28049,32.799,"TE",4.,2.77590292110514,4.69499108300454
1,50.18504,112.57059999999998,35.365,"TE",9.,3.41102894321856,5.69811346598035
1,35.82804,99.12776,36.716,"DP",9.,6.04169855580635,5.67971238937358
1,47.58613,65.72283,37.089,"DP",12.,5.26332367496935,5.91387911274386
1,51.11971,50.709509999999995,38.875,"TE",8.,2.22540432386013,5.39703921645943
1,44.62976,82.91314,36.875,"DP",12.,6.25790502964875,5.5251635397101
1,37.984519999999996,62.95983999999999,38.812,"TE",11.,2.51234202879171,5.39971563824231
1,70.34344,42.845389999999995,43.038,"TE",5.,2.92884334005269,4.9352499660373
1,111.88498,85.60581,41.831,"TE",3.,2.09643587852191,4.95645937064092
1,34.11106,86.42327999999999,39.377,"DP",11.,4.10817115264021,6.38804178258134
1,35.23032,74.93767999999999,40.046,"DP",10.,6.38097879483792,5.22389127431571
1,68.83742,123.68115999999999,42.056,"TE",4.,2.05749621848666,5.74486097895308
1,100.31148,51.67348,42.645,"TE",3.,3.27250899715668,4.5219805676212
1,42.35315,95.50335,43.76,"DP",11.,4.94570346640731,6.29918296950292
1,49.49941999999999,85.12822,48.268,"DP",12.,4.63043659907179,6.40802264521939
1,47.934799999999996,104.53947,48.281,"DP",10.,6.56771661070699,5.07942592205294
1,33.31117,69.06889,50.799,"TE",12.,3.71212628674415,5.14326106831139
1,50.25243,70.06801999999999,51.072,"DP",12.,4.75144137535039,6.34065863523173
1,44.9755,60.08258,51.051,"DP",10.,6.09787033091884,5.51130610206906
