"Features of cell nuclei in mouse embryos","Tue 11 Jun 2019 13:09:53","","","","","","",""
"from Munoz-Descalzo lab: https://www.biorxiv.org/content/10.1101/159301v1.article-info","","","","","","","",""
"EmbryoID","CentroidX","CentroidY","CentroidZ","Identity","Population","DCGNeighborCount","Nanog-Avg","Gata6-Avg"
1,116.29644252060133,89.73889718692742,5.055332608694751,"TE","N+G+",8.,16.064,47.351
1,114.11569843993327,101.602823154334,3.834421923145385,"TE","N+G+",8.,12.504,43.246
1,97.8040254338623,91.87189445251285,7.1670590775375285,"ICM+Epi","N+G+",10.,52.772,45.799
1,124.54375318809437,111.04447281523423,4.90484456948985,"TE","N-G+",5.,8.4084,27.515
1,86.18314758117468,104.99749527309253,12.740010448093058,"TE","N+G+",7.,12.172,47.465
1,97.04661935215374,116.19573091741606,14.132330680736791,"TE","N-G+",6.,10.819,26.643
1,79.80190986861574,86.87050380526595,13.541389843859003,"TE","N+G+",9.,12.578,52.493
1,98.45898045137837,64.70754692314539,18.000974420296963,"TE","N-G+",9.,11.542,42.586
1,106.30380479525817,78.24789721203334,15.353363714285512,"ICM+Epi","N+G+",10.,85.926,52.476
1,89.88968072499476,79.99751261615732,15.244473994860824,"ICM+Epi","N+G+",9.,68.615,38.559
1,121.01650940661112,74.86368096222377,19.708952491272925,"ICM+Epi","N-G+",10.,10.001,40.221
1,124.13028996474623,95.20731664722734,17.42716230332868,"ICM+Epi","N+G+",11.,12.124,40.6
1,136.05120307685462,110.30907669915823,20.172651408822993,"TE","N+G+",4.,13.504,35.622
1,81.57650865909228,72.23925785603775,24.308013786973966,"TE","N+G+",7.,11.952,38.736
1,106.67701938624501,91.46063027385422,24.881825903942257,"ICM+Epi","N+G+",13.,111.09,47.214
1,99.01880233785859,98.9574883102501,26.615497054782466,"ICM+Epi","N+G+",14.,63.583,37.742
1,133.25941157761008,93.86548013211231,26.83939389359952,"TE","N-G+",7.,10.346,37.095
1,76.45029648289096,100.25750134956932,29.500462879539867,"TE","N+G+",7.,22.522,49.282
1,96.92953242164809,80.63532062204318,29.64728047876416,"ICM+Epi","N+G+",11.,81.437,41.932
1,90.51536400988442,92.1716293623827,32.04163082611371,"ICM+Epi","N+G+",13.,46.603,55.204
1,116.25253492166169,128.7358030768546,35.867452765900126,"TE","N-G+",3.,10.061,28.03
1,134.3095349855828,115.11877641567438,36.1880045242065,"TE","N+G+",5.,28.807,45.304
1,104.98657682706941,72.14515503549723,38.23366307339835,"ICM+Epi","N+G+",10.,36.868,53.36
1,94.21823818712619,127.07331991397184,33.846263816579004,"TE","N+G+",4.,17.961,38.136
1,118.8064935933166,70.46873071401586,40.22793546286169,"TE","N-G+",7.,10.489,25.968
1,72.02294692314538,87.96139946560622,38.32664755290707,"TE","N+G+",6.,11.994,34.472
1,90.44218467831837,74.06554963245405,40.60721426085778,"ICM+Epi","N+G+",10.,47.596,44.229
1,109.57492091626028,83.32596423157251,38.615388831381516,"ICM+Epi","N+G+",10.,59.841,38.913
1,120.98357870740638,88.40751654076135,40.312355582415655,"ICM+Epi","N+G+",11.,26.514,33.733
1,84.55490745383022,91.01102790904945,44.58597119983618,"ICM+Epi","N+G+",9.,73.476,40.023
1,101.30931541587574,89.22307431877931,44.73645923904108,"ICM+Epi","N+G+",14.,48.423,36.55
1,131.272592725592,94.95986108210224,48.20991894068919,"TE","N+G+",6.,23.714,36.68
1,87.58087281408609,115.96221651088955,49.560640853552705,"TE","N+G+",8.,17.663,37.937
1,95.68548378502535,92.39468789996026,56.62623781622191,"ICM+Epi","N+G+",8.,60.367,43.725
1,91.22154455949673,104.00070243329279,61.93981142814784,"ICM+Epi","N+G+",6.,18.223,31.828
1,90.57390747513725,77.06986931045184,62.44021474550399,"TE","N+G+",7.,15.71,32.241
1,110.28841939902922,87.21554748058125,61.644952749705716,"ICM+Epi","N+G+",10.,59.678,26.582
1,121.62389785860925,86.15601942708783,62.129450827145895,"TE","N+G+",6.,13.926,33.452
1,113.92543217786155,125.32021922019821,59.68371432006784,"TE","N+G+",3.,16.74,28.722
