N-;N+;G6-;G6+;G4-;G4+
8;23;2;29;24;7
18;7;9;16;17;8
0;29;2;27;5;24
1;29;0;30;13;17
4;24;2;26;15;13
1;26;1;26;25;2
5;21;3;23;6;20
1;26;1;26;21;6
0;17;0;17;17;0
2;11;0;13;10;3
0;25;0;25;24;1
4;24;1;27;12;16
5;26;0;31;31;0
0;19;1;18;15;4
4;28;1;31;27;5
3;27;0;30;20;10
11;20;4;27;17;14
0;26;0;26;18;8
8;14;3;19;17;5
13;10;1;22;23;0
6;18;1;23;16;8
11;13;1;23;24;0
2;7;0;9;9;0
1;21;6;16;21;1
5;15;1;19;12;8
0;10;1;9;10;0
1;17;1;17;16;2
0;21;0;21;21;0
0;18;1;17;18;0
3;26;4;25;29;0
9;19;6;22;28;0
3;23;4;22;26;0
2;20;1;21;22;0
5;22;2;25;25;2
2;23;0;25;24;1
0;21;1;20;19;2
2;12;1;13;14;0
5;23;5;23;28;0
5;22;5;22;20;7
6;10;1;15;16;0
15;2;17;0;17;0
10;12;14;8;22;0
