N-;N+;G6-;G6+;G4-;G4+
2;17;1;18;3;16
9;15;9;15;15;9
12;19;11;20;17;14
1;30;3;28;30;1
9;21;8;22;19;11
7;24;5;26;22;9
10;19;4;25;17;12
1;27;0;28;19;9
1;21;7;15;13;9
1;26;5;22;15;12
3;24;4;23;14;13
2;19;2;19;10;11
11;11;6;16;13;9
8;23;4;27;15;16
6;19;14;11;19;6
1;29;7;23;23;7
8;16;10;14;10;14
8;20;9;19;19;9
11;15;12;14;14;12
2;27;8;21;21;8
0;25;1;24;21;4
9;19;9;19;20;8
5;26;7;24;27;4
5;19;4;20;22;2
7;19;1;25;19;7
2;29;6;25;25;6
3;18;3;18;13;8
6;21;0;27;16;11
7;14;5;16;13;8
7;18;6;19;15;10
5;13;2;16;7;11
8;16;8;16;23;1
4;28;7;25;32;0
7;24;8;23;31;0
6;21;3;24;19;8
2;22;0;24;20;4
8;22;7;23;29;1
2;18;5;15;12;8
5;17;4;18;17;5
7;23;10;20;29;1
17;14;7;24;17;14
8;23;2;29;21;10
5;25;6;24;27;3
10;23;12;21;33;0
4;21;6;19;25;0
7;5;4;8;6;6
16;13;12;17;12;17
12;11;1;22;21;2
13;15;8;20;16;12
14;15;7;22;16;13
10;6;5;11;12;4
10;12;9;13;15;7
10;13;2;21;15;8
12;21;12;21;22;11
19;12;9;22;17;14
16;9;3;22;17;8
12;14;9;17;13;13
10;12;9;13;19;3
3;27;13;17;26;4
16;12;9;19;17;11
7;14;5;16;20;1
14;9;16;7;23;0
24;3;23;4;27;0
